climate,inequality,human rights,gender,lgbtq,european union,immigration,health,misinformation,hate speech
49,51,37,58,64,25,68,44,40,34
70,51,58,83,80,48,76,38,57,51
51,55,44,69,44,32,51,41,57,49
74,22,14,58,38,48,68,55,34,51
49,36,37,67,44,32,53,47,57,51
21,55,44,69,44,37,57,59,54,49
21,41,55,64,80,53,47,29,50,35
21,41,58,40,64,53,53,48,38,82
49,41,38,27,74,48,68,57,38,44
69,37,44,54,38,37,51,60,46,82
51,41,58,80,44,48,27,90,67,41
66,60,55,40,28,62,41,81,50,62
51,55,44,20,64,48,41,68,58,51
51,51,55,40,64,53,37,48,31,49
49,55,55,58,38,53,53,57,47,36
66,51,44,58,38,47,57,45,47,41
21,51,55,40,44,37,76,33,57,76
66,55,55,40,44,62,53,60,51,42
49,80,44,19,74,62,47,54,38,51
66,51,44,51,44,44,76,64,45,51
69,83,55,27,80,53,51,40,47,38
73,37,58,44,80,62,56,60,58,84
69,60,55,60,64,47,47,68,33,37
49,70,44,62,80,62,56,57,22,49
49,19,14,70,38,62,57,48,34,49
74,51,44,20,44,53,51,59,46,43
21,41,14,53,44,25,41,50,40,36
49,55,55,54,44,48,40,49,54,49
21,55,14,70,38,41,41,43,67,40
49,41,55,67,44,53,51,72,42,51
21,51,55,20,44,53,48,53,40,51
51,70,44,20,64,48,40,59,57,25
51,55,38,58,38,53,76,55,50,40
49,39,14,70,44,25,25,53,63,25
21,36,44,70,74,48,68,73,42,37
49,36,44,58,74,62,25,55,37,90
51,51,55,44,80,41,37,48,51,49
21,51,44,54,28,41,30,60,50,49
21,19,58,60,44,53,76,59,36,38
51,41,38,40,38,62,68,27,57,51
74,51,44,54,28,53,27,49,71,77
51,55,55,60,44,53,41,51,56,79
21,41,38,58,74,48,53,44,47,48
21,41,38,27,74,47,53,41,50,35
74,41,44,20,44,42,47,47,36,70
73,66,44,58,80,62,76,47,40,49
21,55,37,54,80,25,51,53,66,51
21,39,14,58,64,53,51,39,38,77
68,55,14,20,74,53,51,37,46,38
69,51,44,40,38,37,30,44,62,51
49,80,14,20,44,53,58,35,67,44
51,51,55,16,74,62,68,49,45,84
49,55,14,40,28,37,25,35,38,50
51,83,14,58,44,44,30,30,41,48
49,41,44,44,44,53,48,59,47,49
21,51,44,66,28,48,76,55,69,39
49,55,55,53,44,48,76,55,42,34
21,22,38,44,74,37,76,50,55,42
49,39,44,58,44,44,40,41,34,25
21,19,44,58,44,48,40,47,67,51
21,41,14,53,28,62,47,67,40,42
49,55,44,44,28,62,47,40,51,50
73,51,38,44,44,62,40,85,63,83
49,55,14,44,80,62,56,59,47,51
88,66,44,44,44,35,56,41,47,43
21,36,44,54,64,53,51,53,34,51
21,41,44,44,44,42,53,55,41,41
51,41,44,40,28,48,48,48,76,50
66,55,44,62,44,62,57,38,42,82
88,41,38,54,38,48,48,53,45,36
73,51,58,51,64,32,47,50,33,51
49,22,44,44,44,35,30,55,40,90
51,60,58,54,38,42,76,30,41,48
49,66,44,58,44,37,37,72,64,49
70,55,44,40,44,41,30,37,47,44
73,70,55,40,44,47,41,64,48,36
88,51,44,16,28,53,48,53,50,50
49,55,58,19,44,41,76,57,34,87
49,37,58,40,38,32,40,54,41,48
51,51,58,19,44,44,37,44,50,48
68,22,14,53,28,62,47,41,59,77
21,55,55,54,74,32,47,49,57,50
51,70,55,19,44,53,30,38,56,49
21,39,37,54,44,53,27,50,50,51
21,80,44,54,38,53,51,50,51,51
51,22,55,58,74,42,40,55,34,90
66,22,14,40,80,47,57,49,55,62
21,36,44,27,28,62,76,41,51,49
49,55,44,44,44,25,27,81,47,44
66,41,58,40,28,42,47,55,40,38
21,70,55,51,28,62,76,59,57,49
21,55,37,27,80,62,40,44,50,49
51,55,44,58,64,25,51,33,62,38
49,55,38,58,38,62,47,27,66,90
21,60,58,40,38,62,48,41,55,49
66,51,37,27,44,53,53,30,58,49
70,80,44,69,74,42,47,73,57,51
68,55,55,60,28,48,68,30,46,38
21,39,58,54,44,53,56,35,33,48
51,83,55,51,28,42,53,81,40,35
66,51,44,54,38,41,40,81,61,51
51,39,58,58,38,25,40,43,33,49
51,36,44,27,74,62,68,81,51,33
51,39,37,44,80,62,37,53,46,51
51,60,14,80,38,48,41,54,38,42
49,80,58,19,64,62,51,54,50,44
49,55,44,62,44,37,68,71,50,49
21,19,55,54,38,62,30,48,46,38
49,39,38,58,64,48,48,64,49,87
21,37,44,20,44,41,47,43,51,74
21,51,44,62,64,42,48,47,57,35
68,41,44,40,44,37,53,55,47,50
88,41,55,60,44,25,37,55,47,41
49,55,58,54,44,37,30,29,42,50
21,51,44,19,44,35,76,36,47,51
69,41,37,40,44,47,41,55,55,42
21,41,44,19,74,53,27,60,59,51
69,36,58,64,38,35,58,72,42,51
70,55,14,27,28,62,48,49,48,43
66,37,37,53,80,53,41,22,48,44
73,51,58,54,44,44,40,57,57,62
21,55,44,66,44,47,37,34,40,44
66,41,55,58,64,53,58,55,41,50
73,83,44,53,44,35,30,35,41,79
51,41,38,27,28,47,37,41,40,51
69,55,55,54,44,62,68,40,40,43
49,55,14,40,74,48,58,40,58,48
69,51,44,27,64,44,48,35,57,62
49,80,14,40,38,41,53,55,40,77
88,51,14,58,44,37,53,59,40,42
51,51,55,19,44,62,48,72,47,51
49,66,14,16,38,35,40,41,54,51
74,41,58,58,38,35,76,72,47,82
49,22,38,58,44,42,76,50,57,51
21,83,44,83,44,48,51,81,51,82
49,55,44,44,74,48,68,57,36,40
70,55,44,54,74,35,57,55,55,44
66,55,38,58,44,35,57,37,62,49
21,55,44,40,74,42,41,59,76,84
51,70,14,40,38,62,48,45,47,44
49,66,44,54,74,42,57,54,50,49
73,41,14,58,64,62,48,48,41,48
21,55,55,83,38,53,68,72,41,50
70,51,37,40,28,53,53,55,47,43
71,66,38,51,74,53,76,68,40,69
49,41,44,40,38,62,56,54,37,37
21,51,44,16,44,53,47,38,40,43
49,19,38,54,44,41,27,50,34,51
21,83,37,20,44,44,57,53,56,51
69,41,37,67,44,48,51,38,38,38
66,55,58,27,28,53,53,81,55,49
51,51,44,16,80,62,58,44,37,44
69,39,37,66,80,48,51,43,47,49
21,51,14,44,74,53,25,55,34,49
21,41,58,58,74,53,27,41,55,87
66,41,37,67,28,35,51,48,41,51
66,60,55,58,38,62,40,72,37,90
51,41,55,58,28,62,48,48,72,62
51,22,37,19,28,62,68,81,63,25
51,66,37,16,64,62,51,54,69,49
21,41,44,16,44,62,41,55,50,43
69,66,58,58,44,62,58,55,45,70
51,80,44,19,38,25,47,67,50,49
51,22,44,60,80,53,47,53,50,42
51,39,44,58,44,53,51,49,42,51
51,51,44,58,74,53,53,40,56,32
21,51,44,20,64,53,41,55,38,44
21,41,44,60,80,62,37,36,34,35
49,70,55,67,28,44,37,67,33,74
49,55,44,27,44,53,56,44,22,79
51,51,44,58,44,25,40,54,46,84
49,51,44,27,38,32,47,64,46,38
74,41,55,20,74,32,68,71,68,51
66,51,14,58,38,53,76,59,37,41
51,41,38,44,44,62,48,50,46,84
49,37,58,58,44,53,56,48,61,48
70,19,55,58,74,48,68,55,34,49
21,22,37,40,38,53,40,54,48,82
68,36,44,58,28,42,25,29,47,82
49,39,58,27,28,42,57,41,38,41
68,51,14,51,44,62,68,55,80,44
51,51,38,44,74,62,68,50,42,49
51,51,58,58,80,53,58,38,62,84
70,41,44,53,44,41,47,48,55,49
49,83,37,54,44,53,58,60,48,38
49,51,37,40,44,42,40,73,48,44
21,51,55,54,44,48,48,55,47,51
68,83,44,83,38,53,41,53,55,42
66,41,38,60,44,62,76,43,56,48
49,41,44,40,74,53,58,45,62,87
49,41,55,27,38,41,76,44,36,40
21,51,14,44,38,53,41,49,47,43
49,55,58,58,44,53,53,72,42,30
49,55,37,54,44,53,40,49,51,51
49,41,44,27,28,44,68,64,80,49
51,51,44,62,44,47,58,36,48,43
49,36,58,58,74,35,41,55,51,37
51,51,44,53,28,48,57,60,56,38
49,55,44,62,44,44,53,38,50,50
51,55,38,40,38,62,58,55,51,42
51,41,58,20,38,47,41,37,69,77
51,41,58,20,44,32,37,48,50,83
21,19,44,83,80,62,27,55,54,49
69,80,37,58,64,42,68,49,36,34
51,55,44,40,74,62,41,55,83,25
51,41,37,70,44,42,48,29,55,43
49,41,14,58,44,53,56,53,57,49
21,55,58,20,44,44,27,46,40,36
66,41,44,16,38,35,51,50,57,48
21,41,55,51,74,53,57,57,41,44
21,55,44,58,28,62,48,50,55,33
21,51,44,53,28,53,76,51,36,36
21,41,55,58,38,53,30,72,66,79
21,51,14,16,44,53,47,53,45,35
70,37,37,27,80,41,53,60,45,51
21,55,58,60,28,47,47,54,37,35
51,19,58,58,28,41,51,55,34,34
51,41,44,83,80,48,53,36,40,49
49,51,44,58,44,62,76,53,41,83
21,80,38,20,44,35,51,37,50,51
71,80,38,19,64,35,40,59,42,44
66,51,55,83,44,35,68,54,67,48
51,51,55,60,44,53,57,81,36,81
21,41,44,44,28,42,41,60,38,38
51,55,44,51,28,32,47,71,36,51
21,51,44,40,28,44,47,55,47,25
73,37,37,44,64,53,48,41,80,50
69,80,55,40,64,35,47,73,42,81
49,55,55,16,64,62,53,57,51,43
49,80,14,58,64,47,41,43,38,77
51,37,44,64,28,53,53,59,68,41
51,55,58,58,44,53,25,46,64,35
21,51,14,58,38,47,41,71,51,62
70,51,55,51,28,62,30,59,34,49
21,55,44,54,64,41,53,59,66,44
21,83,44,27,44,53,47,30,55,48
51,51,44,44,44,62,48,44,52,49
21,51,55,54,38,48,40,41,62,25
51,55,44,58,28,25,47,34,62,41
71,55,55,44,44,35,56,38,41,30
51,51,38,54,38,62,41,55,47,42
71,41,44,54,28,25,76,48,57,51
51,55,44,16,64,62,48,43,38,42
74,22,14,58,44,48,68,60,52,50
51,41,44,60,44,47,76,39,38,90
49,41,44,66,28,41,58,51,59,87
51,51,38,54,44,53,25,60,46,51
49,83,58,40,44,48,76,38,42,82
49,41,55,53,74,62,41,44,59,49
21,55,37,44,44,53,30,47,34,33
51,83,44,62,38,62,56,44,50,38
21,66,38,54,80,37,37,55,51,48
21,55,44,27,28,62,58,39,42,36
21,55,44,80,38,62,53,53,51,43
66,55,58,27,44,62,40,35,57,82
21,51,58,40,74,37,58,49,57,42
21,60,38,20,38,53,53,72,40,44
49,51,44,54,74,41,57,81,47,36
51,51,58,51,28,32,27,59,47,44
49,55,55,20,64,48,47,36,47,84
70,55,38,44,44,48,51,68,57,49
49,70,44,27,44,62,56,50,63,44
51,41,14,58,44,32,48,50,38,76
51,70,14,69,44,47,25,85,51,87
49,55,38,54,64,48,30,48,62,49
68,41,58,54,38,41,47,73,36,69
51,39,14,27,28,53,58,47,66,42
51,55,58,54,44,62,53,43,33,27
74,51,55,40,28,48,56,27,56,49
21,41,55,40,74,42,48,53,73,40
21,83,44,58,44,53,53,50,67,44
49,70,55,51,38,62,47,73,51,82
73,83,37,53,28,47,56,68,55,33
49,70,55,16,28,41,57,53,56,49
49,80,55,51,80,47,47,60,40,30
66,55,58,58,44,35,48,47,62,84
21,19,38,54,80,47,58,43,51,40
